gene,logFC,P.Value
115330,2.741035,1.31E-08
9413,2.849698333,1.69E-08
5168,2.5801,2.82E-08
374864,2.690296667,3.70E-08
7102,3.328691667,7.23E-08
948,4.197531667,9.23E-08
84210 /// 284232 /// 391267 /// 440482 /// 441425 /// 441430 /// 728747 /// 102723891 /// 102725051,3.558781667,1.37E-07
1301,-6.448583333,1.48E-07
80760,2.280091667,1.89E-07
3624,-3.599681667,2.74E-07
338328,2.321046667,2.76E-07
8436,3.160933333,2.87E-07
83857,2.211933333,3.05E-07
2277 /// 100532742,4.824283333,3.30E-07
147463,2.580208333,5.08E-07
7122,3.201666667,5.25E-07
4609,2.145525,5.39E-07
7421,-2.662068333,5.50E-07
2719,3.196261667,6.43E-07
79689,3.423288333,7.10E-07
1300,-5.378948333,8.20E-07
572558,3.279136667,9.89E-07
5239,2.729391667,1.18E-06
56977,1.848666667,1.37E-06
3983,2.18785,1.48E-06
79759,-1.471328333,1.92E-06
26499,-1.382083333,2.25E-06
9411,2.131798333,2.33E-06
4147 /// 100506558,3.662355,2.46E-06
6711,1.437265,2.60E-06
154661,2.435963333,3.25E-06
131578,-3.60145,3.53E-06
2327,2.012945,3.61E-06
285313,3.3129,4.23E-06
148113,-3.84775,4.38E-06
253738,1.981053333,5.46E-06
51194 /// 100130733,3.405608333,5.56E-06
8462,1.739518333,5.57E-06
1602,2.11938,6.04E-06
3909,2.296776667,6.57E-06
9223,1.479235,7.70E-06
6328,3.699566667,8.73E-06
9314,3.915395,9.27E-06
55816,-2.09991,9.27E-06
22885,1.66826,9.68E-06
340075,-1.710805,9.98E-06
92293,2.165736667,9.99E-06
8531,1.110275,1.22E-05
7049,2.809925,1.23E-05
196051,-4.848486667,1.26E-05
56935,-2.206626667,1.29E-05
5175,1.627643333,1.32E-05
7123 /// 23016,3.807478333,1.33E-05
3920,-1.425815,1.42E-05
10350,3.504688333,1.44E-05
55506,-0.986686667,1.46E-05
1030,-3.081388333,1.50E-05
5493,2.503421667,1.50E-05
6477 /// 83752 /// 100507577,1.30544,1.65E-05
3680,1.584226667,1.70E-05
10894,3.278663333,1.73E-05
10365,1.701153333,1.76E-05
23336,2.399486667,1.80E-05
375033,2.547888333,1.85E-05
79993,3.773373333,1.86E-05
220965,2.887755,1.90E-05
196883,2.445545,1.90E-05
221303,2.353711667,1.98E-05
23127,2.199536667,2.00E-05
2869,2.015196667,2.09E-05
221395,2.157685,2.23E-05
9079,1.690958333,2.36E-05
27147,1.873835,2.37E-05
9890,2.125033333,2.65E-05
79812,2.96835,2.69E-05
2167,4.258815,2.70E-05
120939,-1.194475,2.76E-05
4233,2.092031667,2.98E-05
57061,2.22004,3.23E-05
5152,1.680116667,3.48E-05
54682,1.249351667,3.51E-05
6542,2.309755,3.56E-05
51655,2.03152,3.61E-05
283807,-1.541231667,3.67E-05
590,3.034495,3.71E-05
144203 /// 408186 /// 728715 /// 100509445,2.152291667,3.87E-05
10439,1.77749,4.18E-05
2934,1.326703333,4.20E-05
861 /// 100506403 /// 101928269,-2.129653333,4.21E-05
57381,3.070456667,4.25E-05
80177,2.513715,4.27E-05
284018,1.661038333,4.39E-05
54536,1.124881667,4.43E-05
79783,-2.295331667,4.52E-05
283417,1.090113333,4.61E-05
114904,-1.364861667,4.62E-05
57447,1.419553333,4.91E-05
2920,2.364721667,4.93E-05
1029,-2.348023333,5.09E-05
6382,-3.41601,5.13E-05
1910,2.971973333,5.20E-05
